ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,Plus/Minus,AllStarRank
74,LaMelo Ball,CHA,19,35,17,18,28.9,15.8,5.7,12.8,44.9,2,5.3,37.8,2.3,2.9,80.2,1.5,4.6,6,6.3,2.8,1.6,0.4,2.7,35.7,7,1,-0.5,44.5
75,Dejounte Murray,SAS,24,32,18,14,31,15.8,6.5,14.2,45.6,1.1,3.3,32.4,1.8,2.2,81.2,0.6,6.4,7,5.4,1.7,1.6,0.1,2.1,35.8,8,2,2.3,46.8
76,Bojan Bogdanovic,UTA,32,36,27,9,30.6,15.7,5.2,12.1,43.2,2.7,6.7,40.5,2.6,3,85.2,0.5,3.4,3.9,1.9,1.4,0.5,0.1,1.6,23.6,0,0,5.8,49.2
77,Jonas Valanciunas,MEM,29,27,13,14,27.2,15.6,6.3,11.7,53.9,0.4,1,35.7,2.5,3.3,75.6,3.4,7.9,11.3,1.7,2.1,0.6,0.6,3.1,33.4,20,0,0.2,50.5
78,Terrence Ross,ORL,30,35,13,22,29.5,15.5,5.6,13.6,41,2.1,6.1,34.4,2.3,2.6,90,0.3,3.1,3.5,2.2,1.7,1.1,0.5,1.8,26.2,0,0,-4.9,67.8
79,T.J. Warren,IND,27,4,3,1,29.3,15.5,6.8,12.8,52.9,0,1.8,0,2,2.5,80,0.5,3,3.5,1.3,1,0.5,0,4,22.1,0,0,0.3,110
80,Kelly Oubre Jr.,GSW,25,35,19,16,30.4,15.5,5.8,13.2,43.6,1.7,5.3,32.1,2.2,3,74,1.5,4.5,5.9,1.4,1.3,1.1,0.8,2.2,29.1,3,0,-1.8,53.2
81,Jrue Holiday,MIL,31,26,17,9,31,15.3,6.1,12.5,49.1,1.7,4.7,36.4,1.4,1.8,76.6,1.2,3.2,4.3,5.1,1.6,1.8,0.5,1.7,33.6,0,0,6.5,46.2
82,Gary Trent Jr.,TOR,22,33,20,13,31.2,15.2,5.5,13.1,42.3,3.1,7.5,40.6,1.1,1.4,77.8,0.6,1.6,2.2,1.5,0.7,0.8,0.2,1.6,22,0,0,-0.2,65.2
83,Dennis Schroder,LAL,27,33,24,9,31.2,14.9,5.2,11.9,44,1,3.2,31.7,3.4,4.1,83.1,0.5,2.9,3.5,4.5,2.3,0.9,0.2,2.7,26.9,1,0,5,50.2
